Number,Ticker,KoreanTicker
259,XPEV,샤오펑 ADR
260,MTD,메틀러 톨레도 인터내셔널
261,DHI,D R 호턴
262,RKT,로켓 컴퍼니스 Class A
263,ADM,아처 대니얼스 미들랜드
264,GLW,코닝
265,HLT,힐튼 월드와이드 홀딩스
266,CMI,커민스
267,EPAM,이팸 시스템즈
268,NOK,노키아 Oyj ADR
269,TDG,트랜스다임 그룹
270,CTVA,코르테바
271,CSAN,코샌 SA ADR
272,CHT,청화 텔레콤 ADR
273,WCN,웨이스트 커넥션스
274,W,웨이페어 Class A
275,SWK,스탠리 블랙 & 데커
276,PSX,필립스 66
277,PEG,퍼블릭 서비스 엔터프라이즈
278,AWK,아메리칸 워터 웍스
279,CBRE,CBRE 그룹 Class A
280,KR,크로거
281,WST,웨스트 파마슈티컬 서비시즈
282,AME,아메텍
283,PATH,유아이패스
284,EFX,에퀴팩스
285,VFC,VF
286,FERG,퍼거슨 PLC
287,STT,스테이트 스트리트
288,HUBS,허브스팟
289,ARE,알렉산드리아 리얼에스테이트 이쿼티
290,LVS,라스베이거스 샌즈
291,SLF,선 라이프 파이낸셜
292,AVB,아발론베이 커뮤니티
293,AMP,아메리프라이즈 파이낸셜
294,PBR-A,페트로브라스 SA ADR Each Rep 2 Pref SHS NPV
295,ES,에버소스 에너지
296,EQR,에퀴티 레지덴셜
297,MCK,매케슨
298,ZBH,짐머 바이오멧 홀딩스
299,KEYS,키사이트 테크놀로지스
300,WMB,윌리엄스 컴퍼니즈
301,QSR,레스토랑 브랜즈 인터내셔널
302,LUV,사우스웨스트 에어라인스
303,WEC,WEC 에너지 그룹
304,ORAN,오랑주 SA ADR
305,FNV,프랑코-네바다
306,BBY,베스트 바이
307,MPLX,MPLX LP Unit
308,LEN,레나 Class A
309,SYF,싱크로니 파이낸셜
310,AJG,아서 J 갤러거 & Co
311,BLL,볼
312,TSN,타이슨 푸드 Class A
313,TU,텔러스
314,SU,선코어 에너지
315,LH,래버러토리 코퍼레이션 오브 아메리카 홀딩스
316,PAYC,페이콤 소프트웨어
317,ANET,아리스타 네트웍스
318,TEF,텔레포니카 SA ADR
