Number,Ticker,KoreanTicker
334,PBCT,피플스 유나이티드 파이낸셜
335,EEFT,유로넷 월드와이드
336,FFIN,퍼스트 파이낸셜 뱅크셰어스
337,SLAB,실리콘 래버러터리스
338,MSTR,마이크로스트래티지 Class A
339,BEAM,빔 테라퓨틱스
340,SHC,소테라 헬스
341,SGMS,사이언티픽 게임스
342,LZ,리갈줌닷컴
343,ZG,질로우 그룹 Class A
344,COLM,컬럼비아 스포츠웨어
345,TSP,투심플 홀딩스 Class A
346,LFUS,리틀휴즈
347,IIVI,II-VI Inc
348,TNDM,탠덤 다이어비츠 케어
349,FOXF,폭스 팩토리 홀딩
350,CHNG,체인지 헬스케어
351,OMCL,옴니셀
352,JCOM,제이투 글로벌
353,SAIA,사이아
354,BL,블랙라인
355,SWAV,쇼크웨이브 메디컬
356,ASND,어센디스 파마 A/S ADR
357,STAA,STAAR 서지컬
358,DNLI,디날리 테라퓨틱스
359,SRPT,사렙타 테라퓨틱스
360,AMKR,앰코 테크놀로지
361,WSC,윌스콧
362,VRNS,바로니스 시스템즈
363,TLRY,틸레이
364,TXRH,텍사스 로드하우스
365,RPD,래피드7
366,RARE,울트라제닉스 파마슈티컬
367,KC,킹소프트 클라우드 홀딩스 ADR
368,REYN,레이놀드 컨슈머 프라덕츠
369,BPOP,파퓰러
370,ESLT,엘빗 시스템즈
371,ARWR,애로우헤드 파마슈티컬스
372,MEDP,메드페이스 홀딩스
373,DSGX,데카르트 시스템즈 그룹
374,LSTR,랜드스타 시스템
375,NXST,넥스타 미디어 그룹 Class A
376,BRKS,브룩스 오토메이션
377,SRCL,스테리사이클
378,BOKF,BOK 파이낸셜
379,MLCO,멜코 리조트 & 엔터테인먼트 ADR
380,WOOF,펫코 헬스 앤드 웰니스 컴퍼니
381,PACB,퍼시픽 바이오사이언시스 오브 캘리포니아
382,AVGOP,브로드컴 Pref SHS Series A
383,STMP,스탬스 닷 컴
384,LITE,루멘텀 홀딩스
385,IART,인테그라 라이프사이언시스 홀딩스
386,SYNA,시냅틱스
387,NFE,뉴 포트리스 에너지 Class A
388,AMED,아메디시스
389,EXPO,엑스포넌트
390,INOV,이노발론 홀딩스 Class A
391,LAZR,루미나 테크놀로지스 Class A
392,PYCR,페이코어 HCM
393,CAR,에이비스 버짓 그룹
394,CIGI,콜리어스 인터내셔널 그룹
395,HALO,할로자임 테라퓨틱스
396,WISH,콘텍스트로직 Class A
397,COHR,코히런트
398,POWI,파워 인티그레이션
399,RDFN,레드핀
400,DCT,Duck Creek Technologies Inc
401,CYBR,사이버아크 소프트웨어
402,LEGN,레전드 바이오테크 ADR
403,LHCG,LHC 그룹
404,SPT,스프라웃 소셜 Class A
405,CHK,체사피크 에너지
406,HQY,헬스에퀴티
407,NCNO,엔씨노
408,ROLL,RBC 베어링스
409,SLM,샐리메이(SLM)
410,HELE,헬렌 오브 트로이
411,FRPT,프레시펫
412,ACHC,아카디아 헬스케어
413,EXEL,엑셀리시스
414,RCM,R1 RCM Inc
415,CDK,CDK 글로벌
416,KRNT,코닛 디지털
417,TFSL,TFS 파이낸셜
418,IRDM,이리디움 커뮤니케이션스
419,OZK,OZK 은행
420,VMEO,비메오
421,IONS,아이오니스 파마슈티컬스
422,OLLI,올리스 바겐 아웃렛 홀딩스
423,SHLS,숄즈 테크놀로지스 그룹 Class A
424,BPMC,블루프린트 메디슨스
425,NATI,내셔널 인스트루먼츠
426,UPWK,업워크
427,ALGM,알레그로 마이크로시스템즈
428,PPC,필그림즈 프라이드
429,APPS,디지털 터빈
430,EVBG,에버브릿지
431,VIR,Vir 바이오테크놀로지
432,PAAS,팬 아메리칸 실버
433,CELH,셀시어스 홀딩스
434,VLY,밸리 내셔널 뱅코프
435,ALTR,알테어 엔지니어링
436,TWST,트위스트 바이오사이언스
437,NEO,네오지노믹스
438,LANC,랭커스터 콜로니
439,ANGI,앤지 Class A
440,WEN,웬디스
441,DADA,다다 넥서스 ADR
442,VICR,비코
443,QDEL,퀴델
444,NOVT,노밴타
445,ANAT,아메리칸 내셔널 인슈어런스
446,JOBS,51잡 ADR
447,GBCI,글레이셔 뱅코프
448,IMAB,I-Mab ADR
449,LBTYA,리버티 글로벌 Class A
450,SIGI,셀렉티브 인슈어런스 그룹
451,WING,윙스톱
452,PACW,팩웨스트 뱅코프
453,SSB,사우스 스테이트
454,DUOL,듀오링고 Class A
455,JBLU,제트블루 에어웨이스
456,TTEC,TTEC 홀딩스
457,RRR,레드 락 리조트 Class A
458,GSHD,구스헤드 인슈어런스 Class A
459,DISCA,디스커버리 홀딩스 Series A
460,VIRT,버투 파이낸셜 Class A
461,TRIP,트립어드바이저
462,APLS,아펠리스 파머수티컬스
463,DSEY,다이버시 홀딩스
464,SAVA,카사바 사이언스
465,DRVN,드리븐 브랜즈 홀딩스
466,HLNE,해밀턴 레인
467,LAWS,로슨 프로덕츠
468,ESGR,엔스타 그룹
469,GT,굿이어 타이어 & 러버
470,CHX,챔피언엑스
471,SFIX,스티치 픽스 Class A
472,SONO,소노스
473,OCDX,올소 클리니컬 다이애그노스틱스 홀딩스
474,LBRDA,리버티 브로드밴드 Series A
475,BLDP,발라드 파워 시스템즈
476,ALKS,앨커미스
477,UFPI,UFP 인더스트리
478,LPRO,오픈 렌딩 Class A
479,APPF,앱폴리오
480,UBSI,유나이티드 뱅크셰어스(Nasdaq GS)
481,LSXMA,리버티 미디어 Series A
482,ENSG,엔사인 그룹
483,ABCM,압캠 ADR
484,NWS,뉴스 코퍼레이션 Class B
485,LESL,레슬리즈
486,ADPT,어댑티브 바이오테크놀러지
487,PZZA,파파 존스 인터내셔널
488,SLGN,실간 홀딩스
489,CRUS,시러스 로직
490,NEOG,니오젠
491,KOD,코디악 사이언스
492,UMBF,UMB 파이낸셜
493,CRNC,세렌스
494,EYE,내셔널 비전 홀딩스
495,KNBE,노우비4 Class A
496,TENB,테너블 홀딩스
497,UMPQ,움프쿠아 홀딩스
498,EDIT,에디타스 메디신
499,IBRX,이뮤니티바이오
500,CERT,서타라
501,QRTEA,큐레이트 리테일 Series A
502,BIGC,빅커머스 홀딩스 Series 1
503,ARVN,아르비나스
504,PINC,프리미어 Class A
505,SAFM,샌더슨 팜스
506,FEYE,파이어아이
507,LPSN,라이브퍼슨
508,LFST,라이프스탠스 헬스 그룹
509,ALLK,알라코스
510,AY,아틀란티카 서스테인너블 인프라스트럭처
511,QLYS,퀄리스
512,RCII,렌트어센터
513,WTFC,윈트러스트 파이낸셜
514,HEPS,D 마켓 일렉트로닉 히즈메틀러 브 티카렛 AS ADR
515,ALRM,알람닷컴 홀딩스
516,STEP,스텝스톤 그룹 Class A
517,INMD,인모드
518,MTSI,메이컴 테크놀로지 솔루션스 홀딩스
519,CD,친데이터 그룹 홀딩스 ADR
520,SDGR,슈로딩거
521,PGNY,프로지니
522,SMTC,셈텍
523,BCPC,발켐
524,AMEH,아폴로 메디컬 홀딩스
525,KNSL,킨세일 캐피털 그룹
526,AVT,Avnet Inc
527,VRM,브이룸
528,FIZZ,내셔널 베버리지
529,HAIN,하인 셀레셜 그룹
530,SPWR,선파워
531,LIVN,리바노바
532,MGNI,매그나이트
533,ABCL,앱셀레라 바이오로직스
534,SPSC,SPS 커머스
535,PDCE,PDC 에너지
536,DIOD,다이오즈
537,VSAT,비아샛
538,FLYW,플라이와이어
539,AIMC,알트라 인더스트리얼 모션
540,HWC,핸콕 휘트니
541,BHF,브라이트하우스 파이낸셜
542,AMRS,아미리스
543,KLIC,쿨리크 & 소파 인더스트리스
544,EXLS,엑슬서비스 홀딩스
545,TIGO,밀리콤 인터내셔널 셀룰러
546,NKLA,니콜라
547,ICUI,ICU 메디컬
548,JAMF,Jamf 홀딩
549,LOPE,그랜드 캐년 에듀케이션
550,TRUP,트루패니언
551,LGIH,LGI 홈스
552,OPCH,옵션 케어 헬스
553,MIME,마임캐스트
554,SITM,Si타임
555,COKE,코카콜라 콘솔리데이티드
556,SANA,사나 바이오테크놀로지
557,RXRX,리커젼 파마슈티컬스 Class A
558,GLPG,갈라파고스 NV ADR
559,PPBI,퍼시픽 프리미어 뱅코프
560,FRHC,프리덤 홀딩
561,FELE,프랭클린 일렉트릭
562,URBN,어반 아웃피터스
563,CDNA,케어Dx
564,MTTR,매터포트 Class A
565,RETA,리타 파머수티컬스
566,EVCM,에버커머스
567,TASK,태스크어스
568,SGRY,서저리 파트너스
569,CSOD,코너스톤 온디맨드
570,ACIW,ACI 월드와이드
571,NARI,Inari 메디컬
572,FTDR,프론트도어
573,ITRI,아이트론
574,MMSI,메리트 메디컬 시스템즈
575,SBRA,사브라 헬스케어 리츠
576,CLOV,클로버 헬스 인베스트먼츠 Class A
577,FROG,제이프로그
578,FFIE,패러데이 퓨처 인텔리전트 일렉트릭
579,CERE,세러벨 테라퓨틱스 Class A
580,GRFS,그리폴스 SA ADR Class B
581,NAVI,나비엔트
582,EBC,이스턴 뱅크셰어스
583,FHB,퍼스트 하와이안
584,HOMB,홈 뱅크셰어스
585,SWTX,스프링웍스 테라퓨틱스
586,AAON,에이에이온
587,BECN,비컨 루핑 서플라이
588,AMBA,암바렐라
589,YY,JOYY Inc ADR
590,FOCS,포커스 파이낸셜 파트너스 Class A
591,ISBC,인베스터스 뱅코프
592,VIAV,비아비 솔루션스
593,CARG,카구루스
594,SABR,세이버
595,ABCB,아메리스 뱅코프
596,CCMP,캐봇 마이크로일렉트로닉스
597,ALGT,얼리전트 트래블
598,CWST,카셀라 웨이스트 시스템즈 Class A
599,XMTR,조메트리 Class A
600,CVLT,컴볼트 시스템즈
601,PCH,포틀래치델틱
602,PRVA,프리비아 헬스 그룹
603,FA,퍼스트 어드밴티지
604,SHOO,스티븐 매든
605,CCOI,코젠트 커뮤니케이션스 홀딩스
606,ASO,아카데미 스포츠 앤 아웃도어스
607,SMPL,더 심플리 굿 푸드
608,IOVA,이오밴스 바이오테라퓨틱스
609,LYEL,라이엘 이뮤노파마
610,BRP,BRP 그룹 Class A
611,ONEM,1라이프 헬스케어
612,VG,Vonage 홀딩스
613,OLK,오링크 홀딩 AB ADR
614,NSIT,인사이트 엔터프라이지즈
615,SSRM,SSR 마이닝
616,REE,리 오토모티브 홀딩스 Class A
617,ACVA,ACV 옥션즈 Class A
618,MANT,맨텍 인터내셔널 Class A
619,PRFT,퍼피션트
620,ATRC,아트리큐어
621,MARA,매러선 디지털 홀딩스
622,ALHC,얼라인먼트 헬스케어 Class A
623,BLKB,블랙보드
624,API,아고라 ADR
625,ULCC,프론티어 그룹 홀딩스
626,MVST,마이크로배스트 홀딩스
627,TCBI,텍사스 캐피털 뱅크셰어스
628,CVET,커버트러스
629,FCFS,퍼스트 캐쉬
630,PAYO,페이오니아 글로벌
631,AEIS,어드밴스드 에너지 인더스트리스
632,WDFC,WD-40 컴퍼니
633,COOP,미스터쿠퍼 그룹
634,AHCO,어탭트헬스 Class A
635,CBRL,크래커 배럴 올드 컨트리 스토어
636,IHRT,아이하트미디어 Class A
637,NWE,노스웨스턴
638,ME,23앤드미 홀딩 Class A
639,TPTX,터닝 포인트 테라퓨틱스
640,VC,비스티온
641,TGTX,TG 테라퓨틱스
642,PSEC,프로스펙트 캐피털
643,SFNC,시몬스 퍼스트 내셔널 Class A
644,ADGI,아다지오 테라퓨틱스
645,FYBR,프론티어 커뮤니케이션 패런트
646,DORM,도먼 프로덕츠
647,KRTX,카루나 테라퓨틱스
648,COMM,콤스코프 홀딩
649,OSTK,오버스톡 닷 컴
650,CATY,캐세이 제너럴 뱅코프
651,IBTX,인디펜던트 뱅크 그룹
652,CRTX,코르텍심
653,MNTV,모먼티브 글로벌
654,RLAY,릴레이 테라퓨틱스
655,RIOT,라이엇 블록체인
656,WERN,웨너 엔터프라이즈
657,JJSF,J&J 스낵 푸드
658,KTOS,크라토스 디펜스 & 시큐리티 솔
659,TSEM,타워 세미컨덕터
660,ACCD,애콜레이드
661,UNIT,유니티 그룹
662,CTKB,사이텍 바이오사이언시스
663,ARNA,아레나 파마슈티컬스
664,BBBY,베드 배스 & 비욘드
665,AXNX,악소닉스
666,VCYT,베라사이트
667,ALLO,알로진 테라퓨틱스
668,MRCY,머큐리 시스템즈
669,NUVA,누베이시브
670,RXT,랙스페이스 테크놀로지
671,BCRX,바이오크리스트 파마슈티컬스
672,ADV,Advantage Solutions Inc
